Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,4274;-0,0334
-58,7879;-58,9447;-0,1568
-58,1818;-58,2675;-0,0857
-57,5758;-57,6394;-0,0636
-56,9697;-57,0536;-0,0839
-56,3636;-56,5048;-0,1412
-55,7576;-55,8232;-0,0656
-55,1515;-55,1912;-0,0397
-54,5455;-54,6021;-0,0567
-53,9394;-54,0505;-0,1111
-53,3333;-53,4068;-0,0734
-52,7273;-52,8075;-0,0802
-52,1212;-52,139;-0,0178
-51,5152;-51,5183;-0,0032
-50,9091;-50,9391;-0,03
-50,303;-50,3087;-0,0057
-49,697;-49,7211;-0,0241
-49,0909;-49,0948;-0,0039
-48,4848;-48,5106;-0,0258
-47,8788;-47,8973;-0,0185
-47,2727;-47,3244;-0,0516
-46,6667;-46,6719;-0,0052
-46,0606;-46,065;-0,0044
-45,4545;-45,4977;-0,0432
-44,8485;-44,8719;-0,0234
-44,2424;-44,2448;-0,0024
-43,6364;-43,66;-0,0236
-43,0303;-43,0365;-0,0062
-42,4242;-42,4548;-0,0306
-41,8182;-41,8438;-0,0256
-41,2121;-41,2424;-0,0302
-40,6061;-40,6227;-0,0167
-40,0;-40,0178;-0,0178
-39,3939;-39,8338;-0,4399
-38,7879;-39,6792;-0,8913
-38,1818;-39,5021;-1,3203
-37,5758;-39,3287;-1,7529
-36,9697;-39,1346;-2,1649
-36,3636;-38,9918;-2,6281
-35,7576;-38,7359;-2,9784
-35,1515;-38,5097;-3,3582
-34,5455;-38,2893;-3,7438
-33,9394;-38,0531;-4,1137
-33,3333;-37,8025;-4,4692
-32,7273;-37,5389;-4,8117
-32,1212;-37,2638;-5,1426
-31,5152;-36,9971;-5,482
-30,9091;-36,702;-5,7929
-30,303;-36,4518;-6,1488
-29,697;-36,0895;-6,3925
-29,0909;-35,7742;-6,6833
-28,4848;-35,4385;-6,9537
-27,8788;-35,1003;-7,2215
-27,2727;-34,7457;-7,473
-26,6667;-34,3772;-7,7106
-26,0606;-34,0105;-7,9499
-25,4545;-33,6203;-8,1658
-24,8485;-33,2348;-8,3863
-24,2424;-32,8773;-8,6349
-23,6364;-32,4113;-8,775
-23,0303;-31,9902;-8,9599
-22,4242;-31,5684;-9,1442
-21,8182;-31,1279;-9,3097
-21,2121;-30,6814;-9,4693
-20,6061;-30,2223;-9,6162
-20,0;-29,7617;-9,7617
-19,3939;-29,2934;-9,8995
-18,7879;-28,8197;-10,0318
-18,1818;-28,4263;-10,2445
-17,5758;-27,8382;-10,2625
-16,9697;-27,3429;-10,3732
-16,3636;-26,8392;-10,4755
-15,7576;-26,3301;-10,5725
-15,1515;-25,8181;-10,6666
-14,5455;-25,2955;-10,75
-13,9394;-24,7749;-10,8355
-13,3333;-24,2448;-10,9115
-12,7273;-23,7167;-10,9894
-12,1212;-23,2612;-11,14
-11,5152;-22,6253;-11,1101
-10,9091;-22,0797;-11,1706
-10,303;-21,5316;-11,2285
-9,697;-20,9773;-11,2803
-9,0909;-20,4201;-11,3292
-8,4848;-19,8598;-11,375
-7,8788;-19,2968;-11,418
-7,2727;-18,7337;-11,4609
-6,6667;-18,1725;-11,5058
-6,0606;-17,6839;-11,6233
-5,4545;-17,0215;-11,567
-4,8485;-16,4465;-11,598
-4,2424;-15,8692;-11,6268
-3,6364;-15,2909;-11,6545
-3,0303;-14,7096;-11,6793
-2,4242;-14,1283;-11,7041
-1,8182;-13,5443;-11,7262
-1,2121;-12,9594;-11,7473
-0,6061;-12,3815;-11,7755
0,0;-11,8719;-11,8719
