Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,4274;-0,0334
-58,7879;-58,9447;-0,1568
-58,1818;-58,2675;-0,0857
-57,5758;-57,6394;-0,0636
-56,9697;-57,0536;-0,0839
-56,3636;-56,5048;-0,1412
-55,7576;-55,8232;-0,0656
-55,1515;-55,1912;-0,0397
-54,5455;-54,6021;-0,0567
-53,9394;-54,0505;-0,1111
-53,3333;-53,4068;-0,0734
-52,7273;-52,8075;-0,0802
-52,1212;-52,139;-0,0178
-51,5152;-51,5183;-0,0032
-50,9091;-50,9391;-0,03
-50,303;-50,3087;-0,0057
-49,697;-49,7211;-0,0241
-49,0909;-49,0948;-0,0039
-48,4848;-48,5106;-0,0258
-47,8788;-47,8973;-0,0185
-47,2727;-47,3244;-0,0516
-46,6667;-46,6719;-0,0052
-46,0606;-46,065;-0,0044
-45,4545;-45,4977;-0,0432
-44,8485;-44,8719;-0,0234
-44,2424;-44,2448;-0,0024
-43,6364;-43,66;-0,0236
-43,0303;-43,0365;-0,0062
-42,4242;-42,4548;-0,0306
-41,8182;-41,8438;-0,0256
-41,2121;-41,2424;-0,0302
-40,6061;-40,6227;-0,0167
-40,0;-40,0178;-0,0178
-39,3939;-39,4026;-0,0087
-38,7879;-38,805;-0,0171
-38,1818;-38,2026;-0,0208
-37,5758;-37,579;-0,0032
-36,9697;-36,9784;-0,0087
-36,3636;-36,3641;-0,0005
-35,7576;-35,7579;-0,0003
-35,1515;-35,1608;-0,0093
-34,5455;-34,5595;-0,0141
-33,9394;-33,9442;-0,0048
-33,3333;-33,345;-0,0116
-32,7273;-32,7383;-0,011
-32,1212;-32,1283;-0,0071
-31,5152;-31,5183;-0,0032
-30,9091;-30,9111;-0,002
-30,303;-30,3087;-0,0057
-29,697;-29,7048;-0,0079
-29,0909;-29,0948;-0,0039
-28,4848;-28,4895;-0,0046
-27,8788;-27,8841;-0,0053
-27,2727;-27,2752;-0,0025
-26,6667;-26,6719;-0,0052
-26,0606;-26,065;-0,0044
-25,4545;-25,4579;-0,0034
-24,8485;-24,8487;-0,0002
-24,2424;-24,2448;-0,0024
-23,6364;-23,6398;-0,0034
-23,0303;-23,0327;-0,0024
-22,4242;-22,4267;-0,0025
-21,8182;-21,8209;-0,0027
-21,2121;-21,2149;-0,0028
-20,6061;-20,6085;-0,0024
-20,0;-20,0019;-0,0019
-19,3939;-19,9385;-0,5445
-18,7879;-19,8755;-1,0876
-18,1818;-19,8938;-1,712
-17,5758;-19,7253;-2,1495
-16,9697;-19,6435;-2,6738
-16,3636;-19,5599;-3,1963
-15,7576;-19,4697;-3,7121
-15,1515;-19,3729;-4,2214
-14,5455;-19,2724;-4,727
-13,9394;-19,1658;-5,2264
-13,3333;-19,051;-5,7177
-12,7273;-18,94;-6,2127
-12,1212;-18,8955;-6,7743
-11,5152;-18,6697;-7,1546
-10,9091;-18,5276;-7,6185
-10,303;-18,3768;-8,0738
-9,697;-18,2199;-8,5229
-9,0909;-18,0531;-8,9621
-8,4848;-17,879;-9,3941
-7,8788;-17,6961;-9,8173
-7,2727;-17,5051;-10,2323
-6,6667;-17,3123;-10,6456
-6,0606;-17,181;-11,1204
-5,4545;-16,8705;-11,4159
-4,8485;-16,6406;-11,7921
-4,2424;-16,3991;-12,1567
-3,6364;-16,1488;-12,5125
-3,0303;-15,8874;-12,8571
-2,4242;-15,6159;-13,1917
-1,8182;-15,3341;-13,5159
-1,2121;-15,0432;-13,831
-0,6061;-14,7472;-14,1411
0,0;-14,5129;-14,5129
