Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,4274;-0,0334
-58,7879;-58,9447;-0,1568
-58,1818;-58,2675;-0,0857
-57,5758;-57,6394;-0,0636
-56,9697;-57,0536;-0,0839
-56,3636;-56,5048;-0,1412
-55,7576;-55,8232;-0,0656
-55,1515;-55,1912;-0,0397
-54,5455;-54,6021;-0,0567
-53,9394;-54,0505;-0,1111
-53,3333;-53,4068;-0,0734
-52,7273;-52,8075;-0,0802
-52,1212;-52,139;-0,0178
-51,5152;-51,5183;-0,0032
-50,9091;-50,9391;-0,03
-50,303;-50,3087;-0,0057
-49,697;-49,7211;-0,0241
-49,0909;-49,0948;-0,0039
-48,4848;-48,5106;-0,0258
-47,8788;-47,8973;-0,0185
-47,2727;-47,3244;-0,0516
-46,6667;-46,6719;-0,0052
-46,0606;-46,065;-0,0044
-45,4545;-45,4977;-0,0432
-44,8485;-44,8719;-0,0234
-44,2424;-44,2448;-0,0024
-43,6364;-43,66;-0,0236
-43,0303;-43,0365;-0,0062
-42,4242;-42,4548;-0,0306
-41,8182;-41,8438;-0,0256
-41,2121;-41,2424;-0,0302
-40,6061;-40,6227;-0,0167
-40,0;-40,0178;-0,0178
-39,3939;-39,4026;-0,0087
-38,7879;-38,805;-0,0171
-38,1818;-38,2026;-0,0208
-37,5758;-37,579;-0,0032
-36,9697;-36,9784;-0,0087
-36,3636;-36,3641;-0,0005
-35,7576;-35,7579;-0,0003
-35,1515;-35,1608;-0,0093
-34,5455;-34,5595;-0,0141
-33,9394;-33,9442;-0,0048
-33,3333;-33,345;-0,0116
-32,7273;-32,7383;-0,011
-32,1212;-32,1283;-0,0071
-31,5152;-31,5183;-0,0032
-30,9091;-30,9111;-0,002
-30,303;-30,3087;-0,0057
-29,697;-29,7048;-0,0079
-29,0909;-29,0948;-0,0039
-28,4848;-28,4895;-0,0046
-27,8788;-27,8841;-0,0053
-27,2727;-27,2752;-0,0025
-26,6667;-26,6719;-0,0052
-26,0606;-26,065;-0,0044
-25,4545;-25,4579;-0,0034
-24,8485;-24,8487;-0,0002
-24,2424;-24,2448;-0,0024
-23,6364;-23,6398;-0,0034
-23,0303;-23,0327;-0,0024
-22,4242;-22,4267;-0,0025
-21,8182;-21,8209;-0,0027
-21,2121;-21,2149;-0,0028
-20,6061;-20,6085;-0,0024
-20,0;-20,0019;-0,0019
-19,3939;-19,8442;-0,4503
-18,7879;-19,6868;-0,8989
-18,1818;-19,6029;-1,421
-17,5758;-19,3287;-1,7529
-16,9697;-19,137;-2,1673
-16,3636;-18,9377;-2,574
-15,7576;-18,7291;-2,9715
-15,1515;-18,512;-3,3605
-14,5455;-18,2849;-3,7395
-13,9394;-18,0467;-4,1073
-13,3333;-17,7984;-4,465
-12,7273;-17,5489;-4,8217
-12,1212;-17,363;-5,2418
-11,5152;-16,9915;-5,4763
-10,9091;-16,7002;-5,7911
-10,303;-16,4009;-6,0978
-9,697;-16,0895;-6,3925
-9,0909;-15,7677;-6,6768
-8,4848;-15,4354;-6,9506
-7,8788;-15,0927;-7,214
-7,2727;-14,7414;-7,4686
-6,6667;-14,387;-7,7203
-6,0606;-14,0947;-8,0341
-5,4545;-13,6216;-8,167
-4,8485;-13,2287;-8,3802
-4,2424;-12,8261;-8,5836
-3,6364;-12,4147;-8,7783
-3,0303;-11,9934;-8,963
-2,4242;-11,5644;-9,1402
-1,8182;-11,126;-9,3078
-1,2121;-10,6805;-9,4684
-0,6061;-10,2335;-9,6274
0,0;-9,8494;-9,8494
