sep=;
Time_ms;Input_Lin;Output_Lin;Gain_Factor_Lin;Input_dB;Output_dB;Gain_Reduction_dB;
0,0;0,0;0,0;1,0;-40,0;-40,0;0,0;;Phase;time (ms);Gain Reduction (dB)
0,14583333;0,00793353;0,00793353;1,0;-40,0;-40,0;0,0;;ATTACK PHASE;;
0,29166667;0,00965926;0,00965926;1,0;-40,0;-40,0;0,0;;Steady State Start;377,39583333;-11,12662975
0,4375;0,00382683;0,00382683;1,0;-40,0;-40,0;0,0;;Steady State End;550,0;-11,12762667
0,58333333;-0,005;-0,005;1,0;-40,0;-40,0;0,0;;10% Steady State;62,375;-1,11554293
0,72916667;-0,00991445;-0,00991445;1,0;-40,0;-40,0;0,0;;90% Steady State;139,04166667;-10,01527665
0,875;-0,00707107;-0,00707107;1,0;-40,0;-40,0;0,0;;ATTACK TIME (sw);76,66666667;
1,02083333;0,00130526;0,00130526;1,0;-40,0;-40,0;0,0;;;;
1,16666667;0,00866025;0,00866025;1,0;-40,0;-40,0;0,0;;RELEASE PHASE;550,0;-11,12762603
1,3125;0,0092388;0,0092388;1,0;-40,0;-40,0;0,0;;Steady State Start;948,75;-0,02499633
1,45833333;0,00258819;0,00258819;1,0;-40,0;-40,0;0,0;;Steady State End;1250,0;-0,00012522
1,60416667;-0,00608761;-0,00608761;1,0;-40,0;-40,0;0,0;;10% Recovery;596,10416667;-10,01415523
1,75;-0,01;-0,01;1,0;-40,0;-40,0;0,0;;90% Recovery;736,33333333;-1,11261822
1,89583333;-0,00608761;-0,00608761;1,0;-40,0;-40,0;0,0;;Release TIME (sw);140,22916667;
2,04166667;0,00258819;0,00258819;1,0;-40,0;-40,0;0,0;
2,1875;0,0092388;0,0092388;1,0;-40,0;-40,0;0,0;
2,33333333;0,00866025;0,00866025;1,0;-40,0;-40,0;0,0;
2,47916667;0,00130526;0,00130526;1,0;-40,0;-40,0;0,0;
2,625;-0,00707107;-0,00707107;1,0;-40,0;-40,0;0,0;
2,77083333;-0,00991445;-0,00991445;1,0;-40,0;-40,0;0,0;
2,91666667;-0,005;-0,005;1,0;-40,0;-40,0;0,0;
3,0625;0,00382683;0,00382683;1,0;-40,0;-40,0;0,0;
3,20833333;0,00965926;0,00965926;1,0;-40,0;-40,0;0,0;
3,35416667;0,00793353;0,00793353;1,0;-40,0;-40,0;0,0;
3,5;-0,0;-0,0;1,0;-40,0;-40,0;0,0;
3,64583333;-0,00793353;-0,00793353;1,0;-40,0;-40,0;0,0;
3,79166667;-0,00965926;-0,00965926;1,0;-40,0;-40,0;0,0;
3,9375;-0,00382683;-0,00382683;1,0;-40,0;-40,0;0,0;
4,08333333;0,005;0,005;1,0;-40,0;-40,0;0,0;
4,22916667;0,00991445;0,00991445;1,0;-40,0;-40,0;0,0;
4,375;0,00707107;0,00707107;1,0;-40,0;-40,0;0,0;
4,52083333;-0,00130526;-0,00130526;1,0;-40,0;-40,0;0,0;
4,66666667;-0,00866025;-0,00866025;1,0;-40,0;-40,0;0,0;
4,8125;-0,0092388;-0,0092388;1,0;-40,0;-40,0;0,0;
4,95833333;-0,00258819;-0,00258819;1,0;-40,0;-40,0;0,0;
5,10416667;0,00608761;0,00608761;1,0;-40,0;-40,0;0,0;
5,25;0,01;0,01;1,0;-40,0;-40,0;0,0;
5,39583333;0,00608761;0,00608761;1,0;-40,0;-40,0;0,0;
5,54166667;-0,00258819;-0,00258819;1,0;-40,0;-40,0;0,0;
5,6875;-0,0092388;-0,0092388;1,0;-40,0;-40,0;0,0;
5,83333333;-0,00866025;-0,00866025;1,0;-40,0;-40,0;0,0;
5,97916667;-0,00130526;-0,00130526;1,0;-40,0;-40,0;0,0;
6,125;0,00707107;0,00707107;1,0;-40,0;-40,0;0,0;
6,27083333;0,00991445;0,00991445;1,0;-40,0;-40,0;0,0;
6,41666667;0,005;0,005;1,0;-40,0;-40,0;0,0;
6,5625;-0,00382683;-0,00382683;1,0;-40,0;-40,0;0,0;
6,70833333;-0,00965926;-0,00965926;1,0;-40,0;-40,0;0,0;
6,85416667;-0,00793353;-0,00793353;1,0;-40,0;-40,0;0,0;
7,0;0,0;0,0;1,0;-40,0;-40,0;0,0;
7,14583333;0,00793353;0,00793353;1,0;-40,0;-40,0;0,0;
7,29166667;0,00965926;0,00965926;1,0;-40,0;-40,0;0,0;
7,4375;0,00382683;0,00382683;1,0;-40,0;-40,0;0,0;
7,58333333;-0,005;-0,005;1,0;-40,0;-40,0;0,0;
7,72916667;-0,00991445;-0,00991445;1,0;-40,0;-40,0;0,0;
7,875;-0,00707107;-0,00707107;1,0;-40,0;-40,0;0,0;
8,02083333;0,00130526;0,00130526;1,0;-40,0;-40,0;0,0;
8,16666667;0,00866025;0,00866025;1,0;-40,0;-40,0;0,0;
8,3125;0,0092388;0,0092388;1,0;-40,0;-40,0;0,0;
8,45833333;0,00258819;0,00258819;1,0;-40,0;-40,0;0,0;
8,60416667;-0,00608761;-0,00608761;1,0;-40,0;-40,0;0,0;
8,75;-0,01;-0,01;1,0;-40,0;-40,0;0,0;
8,89583333;-0,00608761;-0,00608761;1,0;-40,0;-40,0;0,0;
9,04166667;0,00258819;0,00258819;1,0;-40,0;-40,0;0,0;
9,1875;0,0092388;0,0092388;1,0;-40,0;-40,0;0,0;
9,33333333;0,00866025;0,00866025;1,0;-40,0;-40,0;0,0;
9,47916667;0,00130526;0,00130526;1,0;-40,0;-40,0;0,0;
